               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.029676,            0.020451,           0.0014746,             0.85801,             0.87467,              0.9216,             0.58829,            0.027664,            0.011489,          0.00089534,           0.0037135,           0.0037135,           0.0037135
                 129,              0.0295,            0.020448,           0.0014343,             0.85995,              0.8749,             0.92201,             0.58921,            0.027628,            0.011475,          0.00089172,            0.003664,            0.003664,            0.003664
                 130,            0.029455,            0.020419,           0.0013065,             0.85864,             0.87525,             0.92203,              0.5898,            0.027594,            0.011461,          0.00088893,           0.0036145,           0.0036145,           0.0036145
                 131,            0.029369,            0.020244,           0.0013677,             0.86072,             0.87629,             0.92274,             0.59111,            0.027557,            0.011446,          0.00088502,            0.003565,            0.003565,            0.003565
                 132,            0.029336,            0.020187,           0.0013791,              0.8625,             0.87675,             0.92325,             0.59274,            0.027521,             0.01143,          0.00088111,           0.0035155,           0.0035155,           0.0035155
                 133,            0.029344,            0.020444,           0.0014323,             0.86429,              0.8782,             0.92399,             0.59362,            0.027485,            0.011414,          0.00087792,            0.003466,            0.003466,            0.003466
                 134,            0.029226,            0.020096,           0.0013665,             0.86499,              0.8797,             0.92452,             0.59427,            0.027451,              0.0114,          0.00087453,           0.0034165,           0.0034165,           0.0034165
                 135,            0.028847,             0.02031,           0.0013131,             0.86569,             0.88064,             0.92493,             0.59483,            0.027415,            0.011385,          0.00087277,            0.003367,            0.003367,            0.003367
                 136,            0.029021,            0.020038,           0.0013565,             0.86613,             0.88067,              0.9254,             0.59534,            0.027376,            0.011369,          0.00087094,           0.0033175,           0.0033175,           0.0033175
                 137,            0.028915,            0.019934,           0.0013989,             0.86631,             0.87948,             0.92587,             0.59652,            0.027339,            0.011353,          0.00086866,            0.003268,            0.003268,            0.003268
                 138,            0.028847,            0.019997,            0.001302,             0.86548,             0.88042,             0.92618,             0.59716,            0.027302,            0.011337,          0.00086628,           0.0032185,           0.0032185,           0.0032185
                 139,            0.029032,            0.020047,           0.0014059,             0.86565,             0.88074,             0.92683,             0.59811,            0.027262,             0.01132,          0.00086194,            0.003169,            0.003169,            0.003169
                 140,            0.028873,             0.01996,            0.001437,             0.86587,             0.88046,             0.92732,             0.59901,            0.027223,            0.011303,          0.00085743,           0.0031195,           0.0031195,           0.0031195
                 141,            0.028755,            0.019777,            0.001265,             0.86621,             0.88046,             0.92758,             0.59929,            0.027184,            0.011287,          0.00085254,             0.00307,             0.00307,             0.00307
                 142,            0.028475,             0.01982,            0.001383,             0.86696,              0.8797,             0.92807,             0.60038,            0.027142,             0.01127,          0.00084825,           0.0030205,           0.0030205,           0.0030205
                 143,            0.028459,            0.019792,           0.0012538,             0.86763,             0.88002,             0.92841,             0.60142,            0.027101,            0.011254,          0.00084499,            0.002971,            0.002971,            0.002971
